feature,metric,value
parity_even,N,594
parity_even,successes,282
parity_even,p_base,0.47474747474747475
parity_even,p_s_given_s,0.4929078014184397
parity_even,p_s_given_not_s,0.45980707395498394
parity_even,current_streak,0
parity_even,pred_bayes,0.4748322147651007
parity_even,wilson_low,0.4348800747274195
parity_even,wilson_high,0.514939409229535
last_number_47,N,594
last_number_47,successes,3
last_number_47,p_base,0.005050505050505051
last_number_47,p_s_given_s,0.0
last_number_47,p_s_given_not_s,0.005076142131979695
last_number_47,current_streak,1
last_number_47,pred_bayes,0.006711409395973154
last_number_47,wilson_low,0.0017190518050179955
last_number_47,wilson_high,0.014742833751289897
top5_list,numbers,"[60, 93, 59, 57, 41]"
top5_number_60,N,594
top5_number_60,successes,13
top5_number_60,p_base,0.021885521885521887
top5_number_60,p_s_given_s,0.0
top5_number_60,p_s_given_not_s,0.022413793103448276
top5_number_60,current_streak,0
top5_number_60,pred_bayes,0.02348993288590604
top5_number_60,wilson_low,0.012833731676773439
top5_number_60,wilson_high,0.0370818312415648
top5_number_93,N,594
top5_number_93,successes,11
top5_number_93,p_base,0.018518518518518517
top5_number_93,p_s_given_s,0.0
top5_number_93,p_s_given_not_s,0.018900343642611683
top5_number_93,current_streak,0
top5_number_93,pred_bayes,0.020134228187919462
top5_number_93,wilson_low,0.010371215927582523
top5_number_93,wilson_high,0.03285361151834964
top5_number_59,N,594
top5_number_59,successes,10
top5_number_59,p_base,0.016835016835016835
top5_number_59,p_s_given_s,0.0
top5_number_59,p_s_given_not_s,0.017152658662092625
top5_number_59,current_streak,0
top5_number_59,pred_bayes,0.018456375838926176
top5_number_59,wilson_low,0.009169575914763427
top5_number_59,wilson_high,0.030709883794965705
top5_number_57,N,594
top5_number_57,successes,9
top5_number_57,p_base,0.015151515151515152
top5_number_57,p_s_given_s,0.0
top5_number_57,p_s_given_not_s,0.0136986301369863
top5_number_57,current_streak,0
top5_number_57,pred_bayes,0.016778523489932886
top5_number_57,wilson_low,0.007991263080268768
top5_number_57,wilson_high,0.02854282889325733
top5_number_41,N,594
top5_number_41,successes,9
top5_number_41,p_base,0.015151515151515152
top5_number_41,p_s_given_s,0.1111111111111111
top5_number_41,p_s_given_not_s,0.0136986301369863
top5_number_41,current_streak,0
top5_number_41,pred_bayes,0.016778523489932886
top5_number_41,wilson_low,0.007991263080268768
top5_number_41,wilson_high,0.02854282889325733
numbers,unique_count,100
numbers,entropy,4.535285619447443
numbers,total_draws,594
